tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_depressa_SC054,0.5277182617,4.1420112754,0.2579477194,1470.6767283391,4.0135907719,5.2325663276,15.041152312,1.4683186129,1.1967919295,1.1967704608,0.4814241918,1880.2903010773,124.9587167289,1.9881761036,4.5282506859,635.5778359103,34.3560114557,71.4843213953,864.8637681035,209.8257598853
Scleria_distans_SC177,3.1686822789,0.9056474006,0.3852036599,3476.3429246486,2.9748253284,6.1627527234,3.7190947258,2.9525226724,5.2809914478,2.894912836,4.6925620278,1116.1744480272,34.2315269878,3.4655937396,1.245982204,223.2860529298,37.9400698138,138.0843368307,276.9532342035,1057.244279715
Scleria_distans_var._chondrocarpa_SC031,71.9897074878,32.5942110277,7.2924908899,101100.995461356,78.2514572338,159.3965582523,150.1713996142,71.5335095555,139.7871336613,58.6198635025,125.435048515,33080.677097045,1092.769090796,116.4595996446,44.6175168867,7119.0078934497,1303.0606731376,4436.71969156,8510.9346807105,18268.4511534698
Scleria_dregeana_SC384,21.9300618643,13.5171699696,0.7215319283,37443.7135629653,27.3649208346,65.066058509,65.568968229,16.2740903848,41.261822376,17.2800933208,41.2387543253,1353.7683757995,54.2374174269,5.212986264,11.8401226801,377.9838523645,49.9724231939,328.9790290448,50.4139666562,6379.7324106113
Scleria_eggersiana_SC275,2.0900044782,4.3304039869,0.8822427372,6452.5226192384,3.7136882239,8.2560446017,12.4599156118,2.6283633047,4.704990571,2.5098788409,4.1118492681,7394.0353329307,197.5593490524,10.5887493375,4.6342384315,1182.3426636921,114.238452089,529.7648305868,1285.4925246201,858.5101869769
Scleria_erythrorrhiza_SC023,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_flagellum-nigrorum_SC129,1.1417695868,0.9426294603,0.5250431306,965.754059753,2.2790344223,1.8479612235,1.876947723,0.8974176411,2.0811676753,1.3922282772,1.3401018704,5176.0518388696,111.8976093326,59.7139688364,9.3577237999,831.8748117315,568.6738505354,1063.5805104472,1956.7781307336,1017.7376153572
Scleria_flexuosa_SC351,72.8235526316,14.8835526316,1.4625,54728.4761842105,63.3821052632,150.7782894737,65.7288157895,36.0814473684,138.7130263158,47.5868421053,130.8572368421,4203.9761842105,157.2794736842,3.2584210526,12.2646052632,1084.4110526316,52.0540789474,688.1656578947,1628.9340789474,13219.2784210526
Scleria_foliosa_SC130,24.8973420393,8.1257859561,0.6085718683,10082.2426900585,34.4178318604,43.1362946841,27.0529063888,14.3634524909,40.3865585015,26.845875654,32.7279822363,1523.2070417271,81.4154575034,1.7253330695,7.2295321637,506.3210108605,22.2073714989,716.0139603394,1328.1596205426,6492.1053071275
Scleria_fulvipilosa_SC294,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_gaertneri_SC271,0.2951570367,0.2443853737,0.069424739,530.0251991552,0.3182515673,0.8331298708,0.8916432606,0.2274035989,0.6535412675,0.2317574423,0.5545498319,592.1044788448,12.5230312767,2.1383001389,0.3448645145,84.7440019713,23.3801637697,47.3933468087,102.0895120998,77.4043536695
Scleria_georgiana_SC186,9.2831765935,4.7152975682,1.3273234896,50227.3606900708,0.8234480384,50.0175842476,59.4834695901,3.5287356322,18.4152284008,0.2554324594,35.4945141066,2392.7039502589,71.147132077,5.2740037523,2.9880248409,490.3956967797,52.1978008929,130.0410551439,163.4940391375,19.6412780825
Scleria_glabra_SC269,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_globonux_SC133,62.9909940518,28.5199346492,6.3809295287,88463.3710286868,68.4700250796,139.4719884707,131.3999746625,62.5918208611,122.3137419536,51.2923805647,109.7556674506,28945.5924599144,956.1729544465,101.902149689,39.0403272759,6229.1319067685,1140.1780889954,3882.129730115,7447.0678456216,15984.8947592861
Scleria_goossensii_SC134,83.9879920691,38.0265795323,8.5079060383,117951.161371582,91.2933667728,185.9626512943,175.1999662166,83.4557611481,163.0849892715,68.389840753,146.3408899342,38594.1232798859,1274.8972725953,135.8695329187,52.0537697011,8305.5092090247,1520.2374519939,5176.1729734866,9929.4237941622,21313.1930123814
Scleria_greigiifolia_SC075,8.8480327766,4.1396916244,1.0113998874,8761.1662861492,11.167146223,20.8927931027,20.7717051354,5.0631815433,16.8082087529,6.9240633014,15.725740706,1017.4029471863,39.0037426242,5.3070880507,8.5979754384,294.9823710932,70.5824784721,571.464601447,245.4474260337,2701.1045432747
Scleria_hildebrandtii_SC137,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_hilsenbergii_SC032,18.2049171679,3.367943442,0.3675213675,1886.0655270655,21.4049804791,15.8649361612,3.9377440118,16.6391263058,19.1490978158,16.808589216,20.0567690197,1421.3090640498,72.8357075024,4.9896591748,4.7217473884,479.7186873483,62.4268228342,316.9231824417,75.0797720798,3413.19478738
Scleria_hirtella_SC445,4.9415692487,1.9284772806,0.4489367619,4055.3153254712,3.8547265267,10.2199068475,5.4743021377,4.2823597791,8.5955264317,3.446203123,7.8752002262,1401.0959350089,46.2707421261,8.1964132707,3.0706741601,301.0898415064,83.1706174437,191.0707322828,453.9078943668,980.2123496545
Scleria_hispidior_SC455,100.7855904829,45.6318954388,10.2094872459,141541.393645899,109.5520401273,223.1551815532,210.2399594599,100.1469133777,195.7019871258,82.0678089036,175.609067921,46312.947935863,1529.8767271144,163.0434395025,62.4645236414,9966.6110508296,1824.2849423927,6211.407568184,11915.3085529946,25575.8316148577
Scleria_hispidula_SC439,71.9897074878,32.5942110277,7.2924908899,101100.995461356,78.2514572338,159.3965582523,150.1713996142,71.5335095555,139.7871336613,58.6198635025,125.435048515,33080.677097045,1092.769090796,116.4595996446,44.6175168867,7119.0078934497,1303.0606731376,4436.71969156,8510.9346807105,18268.4511534698
Scleria_interrupta_SC318,2.8471637131,6.6622797362,0.3475814763,2288.8234387664,5.1888489749,8.4255005654,13.7360862343,3.4929430541,5.3315688884,2.6839834095,4.142900027,3612.0067642615,129.351141219,10.7231280707,5.2222099923,855.0502341475,114.1721684661,474.7397085164,1363.1649464162,1232.6534341635
Scleria_iostephana_SC140,8.7628750443,5.1288286316,1.0627958133,6762.5700100081,11.3510300035,25.0223879819,26.1428608661,6.2035925022,16.3269114489,9.7178384521,12.1772898814,1572.9128510665,54.2797272784,8.2000531682,6.5476950022,244.8597871187,105.2932538938,396.1803444465,1087.8099289006,3578.1812670712
Scleria_kerrii_SC102,41.9939960346,19.0132897662,4.2539530191,58975.5806857912,45.6466833864,92.9813256472,87.5999831083,41.727880574,81.5424946357,34.1949203765,73.1704449671,19297.0616399429,637.4486362976,67.9347664594,26.0268848506,4152.7546045123,760.1187259969,2588.0864867433,4964.7118970811,10656.5965061907
Scleria_lacustris_SC004,7.5705733762,9.4181805599,2.9389944289,46874.9392020485,2.1904910205,55.3298037994,63.6767362192,2.6416484999,34.2951659227,1.6362849926,31.7043842347,5300.8636284993,372.5235475276,8.0397937645,16.3643032631,1954.5193605315,102.1383784906,782.8009273677,2557.2083463096,1359.7640402782
Scleria_lagoensis_SC224,8.4905831449,5.0021404552,0.3942224926,3644.8827885598,10.1980265348,17.9411317442,12.6807967314,5.635910296,14.9967434093,8.3600125099,11.4410083667,1512.06351356,73.0541655668,3.4602150784,4.1169302544,398.9918255271,49.8533759512,784.4524422995,950.801686541,2402.0326605915
Scleria_latifolia_SC141,0.9953692841,0.5389013311,0.1672584758,1328.0942178877,0.7684155446,2.5555006619,1.8422727555,0.7580419259,2.112048337,0.7183005395,1.749080648,918.7228991283,24.2080789528,2.3495222388,0.6128515432,157.2810484852,25.7645872769,65.7143815736,149.288653243,321.5486609314
Scleria_laxa_SC142,0.3704576546,3.552745126,0.1070354363,3970.0592915132,3.3318866929,4.3590273597,14.0817331918,0.5241239068,1.1057248423,0.9141542958,1.051114364,928.0066080271,41.9549730161,0.3059848067,0.5316858548,343.2361068056,3.6924221334,267.7350002813,16.8838694002,68.7207943995
Scleria_laxiflora_SC446,125.9819881037,57.0398692985,12.7618590574,176926.742057374,136.9400501591,278.9439769415,262.7999493249,125.1836417221,244.6274839072,102.5847611294,219.5113349012,57891.1849198288,1912.3459088929,203.8042993781,78.0806545517,12458.263813537,2280.3561779908,7764.25946023,14894.1356912433,31969.7895185722
Scleria_leptostachya_SC296,11.8549242003,1.835353423,0.4994131238,8385.9147485081,11.1323869182,14.635500451,4.7253419326,12.7725823789,14.42916713,8.6528843421,17.5119969853,775.6489738933,52.0401855764,10.5813657536,5.8337225249,366.8171787934,116.3005547525,370.6379097323,337.8142691229,2200.9935937828
